candle_begin_time,open,high,low,close,volume,quote_volume
2021-11-06 00:00:00,60940.18,60952.81,60850.0,60917.43,103.35014,6295824.9189402
2021-11-06 00:05:00,60917.43,60940.35,60839.71,60923.63,58.18532,3544860.9071115996
2021-11-06 00:10:00,60923.62,61081.2,60777.0,60953.89,136.60679,8326715.250913099
2021-11-06 00:15:00,60953.9,61139.08,60891.96,61127.55,108.25945,6617634.942847501
2021-11-06 00:20:00,61127.55,61149.86,61071.35,61110.88,57.21232,3496295.2220416
2021-11-06 00:25:00,61110.87,61152.24,61083.89,61122.96,35.58455,2175033.026268
2021-11-06 00:30:00,61122.95,61135.88,61027.01,61047.14,43.98135,2684935.630839
2021-11-06 00:35:00,61047.13,61100.0,61030.01,61052.71,53.24878,3250982.3231937997
2021-11-06 00:40:00,61052.71,61100.0,61035.15,61083.3,41.51653,2535966.6569490004
2021-11-06 00:45:00,61083.31,61264.81,61064.14,61245.99,92.46877,5663341.362732301
2021-11-06 00:50:00,61245.99,61277.77,61145.19,61183.91,89.08992,5450869.6471872
2021-11-06 00:55:00,61183.92,61216.68,61134.83,61171.04,74.91257,4582479.8159728
2021-11-06 01:00:00,61171.03,61277.77,61167.89,61242.47,150.17515,9197097.1186205
2021-11-06 01:05:00,61242.46,61261.77,61209.75,61214.11,107.86061,6602591.245207099
2021-11-06 01:10:00,61214.12,61249.99,61066.14,61066.14,100.47642,6135707.1304188
2021-11-06 01:15:00,61066.14,61092.67,60950.07,60994.31,97.86905,5969455.1751055
2021-11-06 01:20:00,60994.3,61078.93,60980.04,60997.67,79.86344,4871483.7581848
2021-11-06 01:25:00,60997.68,61094.48,60990.68,61085.41,57.32876,3501950.8093916005
2021-11-06 01:30:00,61085.42,61169.07,61070.94,61151.02,65.90194,4029970.8509787996
2021-11-06 01:35:00,61151.02,61243.08,61120.99,61243.08,105.96223,6489453.3288684
2021-11-06 01:40:00,61241.79,61242.0,61128.72,61194.65,51.79213,3169401.2681045
2021-11-06 01:45:00,61194.65,61194.69,61134.11,61158.37,46.69462,2855766.8469694
2021-11-06 01:50:00,61154.56,61176.44,61114.85,61166.0,36.95509,2260395.0349399997
2021-11-06 01:55:00,61165.99,61200.0,61141.46,61171.04,89.99271,5504947.663118401
2021-11-06 02:00:00,61171.02,61220.89,61121.77,61125.01,70.15134,4288001.3590134
2021-11-06 02:05:00,61125.01,61138.79,61001.53,61012.81,66.63551,4065619.7108830996
2021-11-06 02:10:00,61012.81,61035.07,60984.93,61011.97,62.72869,3827200.9524193
2021-11-06 02:15:00,61011.96,61064.0,60988.09,61041.76,64.76924,3953628.4034623997
2021-11-06 02:20:00,61041.78,61046.41,60991.01,60994.95,58.41118,3562787.0035409997
2021-11-06 02:25:00,60994.95,61000.0,60931.16,60954.99,65.42824,3988177.7149176
2021-11-06 02:30:00,60954.99,60954.99,60910.45,60917.9,69.06024,4207004.794295999
2021-11-06 02:35:00,60917.9,60942.0,60900.0,60909.55,64.60443,3935026.7593064997
2021-11-06 02:40:00,60909.55,60921.17,60882.33,60884.38,69.91211,4256555.4718418
2021-11-06 02:45:00,60884.38,60899.61,60865.0,60892.99,79.32018,4830042.927538199
2021-11-06 02:50:00,60893.0,60935.0,60881.17,60931.61,60.53482,3688484.0436602
2021-11-06 02:55:00,60931.61,60980.3,60926.01,60969.74,64.93084,3958816.4327816
2021-11-06 03:00:00,60969.74,60991.81,60926.87,60937.71,54.08623,3295890.9987333
2021-11-06 03:05:00,60937.71,60974.21,60933.47,60943.03,34.41824,2097551.8328672
2021-11-06 03:10:00,60943.02,61029.38,60943.02,61027.47,38.04,2321484.9588
2021-11-06 03:15:00,61027.47,61069.89,60986.23,61062.78,40.18962,2454089.9243436
2021-11-06 03:20:00,61062.78,61064.94,61035.0,61045.56,42.44126,2590850.4838056
2021-11-06 03:25:00,61045.56,61136.22,61045.56,61129.76,63.76106,3897698.2951456
2021-11-06 03:30:00,61129.76,61143.29,61050.01,61050.01,61.76994,3771055.4546994
2021-11-06 03:35:00,61050.02,61050.02,60963.96,60970.16,89.93332,5483248.9097312
2021-11-06 03:40:00,60970.16,61004.39,60952.6,61004.38,55.34801,3376471.0342838
2021-11-06 03:45:00,61004.39,61091.41,61004.39,61065.15,49.79158,3040530.3014370003
2021-11-06 03:50:00,61065.16,61073.63,61016.08,61062.69,49.61243,3029468.4332367005
2021-11-06 03:55:00,61062.7,61150.0,61059.35,61109.52,71.9366,4396011.0964319995
2021-11-06 04:00:00,61109.51,61148.99,61066.29,61098.77,56.34822,3442806.9336893996
2021-11-06 04:05:00,61098.78,61098.78,61010.8,61038.05,49.95691,3049272.3704255
2021-11-06 04:10:00,61038.06,61064.51,61030.0,61050.81,37.2816,2276071.878096
2021-11-06 04:15:00,61050.82,61064.51,60972.78,61010.78,48.44779,2955837.4571761996
2021-11-06 04:20:00,61010.78,61198.69,61010.77,61191.27,67.62315,4137946.4299004995
2021-11-06 04:25:00,61191.26,61244.03,61160.0,61228.0,87.79833,5375716.14924
2021-11-06 04:30:00,61228.01,61280.23,61195.99,61248.48,91.13731,5582021.7087888
2021-11-06 04:35:00,61248.47,61256.22,61185.61,61190.89,41.86497,2561754.7741233
2021-11-06 04:40:00,61190.89,61220.65,61164.51,61217.83,29.07163,1779702.1031629
2021-11-06 04:45:00,61217.84,61245.36,61209.13,61234.97,48.85427,2991589.7578219
2021-11-06 04:50:00,61234.98,61244.98,61156.61,61207.64,99.52274,6091552.0417336
2021-11-06 04:55:00,61207.64,61250.0,61182.8,61193.63,40.08274,2452808.3609462
2021-11-06 05:00:00,61193.64,61268.67,61193.63,61238.25,48.96249,2998377.2032425003
2021-11-06 05:05:00,61240.37,61243.83,61194.89,61228.87,43.99471,2693746.3792777
2021-11-06 05:10:00,61228.87,61293.09,61228.87,61289.0,49.84625,3055026.8162499997
2021-11-06 05:15:00,61289.01,61293.34,61254.18,61262.52,33.59991,2058415.1583731999
2021-11-06 05:20:00,61262.52,61266.0,61211.1,61230.13,42.04746,2574571.4419698
2021-11-06 05:25:00,61230.13,61292.99,61223.81,61289.14,36.26911,2222902.5604653996
2021-11-06 05:30:00,61289.14,61460.0,61279.89,61396.0,190.76716,11712340.555359999
2021-11-06 05:35:00,61396.0,61477.08,61333.33,61341.11,98.30769,6030302.8261359
2021-11-06 05:40:00,61341.12,61407.75,61341.11,61407.75,71.50549,4390991.2535475
2021-11-06 05:45:00,61407.75,61458.32,61336.26,61368.28,69.43006,4260803.3624968
2021-11-06 05:50:00,61368.29,61406.7,61361.67,61406.7,52.0482,3196108.2029399998
2021-11-06 05:55:00,61406.69,61479.0,61388.27,61418.25,115.44679,7090539.809917499
2021-11-06 06:00:00,61418.26,61560.49,61418.25,61529.33,176.15124,10838467.7758692
2021-11-06 06:05:00,61529.32,61534.99,61427.35,61439.99,80.75049,4961309.2980951
2021-11-06 06:10:00,61440.0,61452.56,61354.62,61367.76,87.31278,5358189.727972801
2021-11-06 06:15:00,61367.76,61421.91,61337.44,61354.33,68.99063,4232873.8799279
2021-11-06 06:20:00,61354.33,61354.39,61270.3,61273.19,63.78958,3908591.0553602003
2021-11-06 06:25:00,61273.18,61320.12,61273.18,61295.86,33.97625,2082603.4633250001
2021-11-06 06:30:00,61295.86,61318.39,61243.23,61257.79,70.76996,4335211.3479884
2021-11-06 06:35:00,61257.79,61300.01,61239.84,61252.89,48.20368,2952614.7086352
2021-11-06 06:40:00,61252.89,61273.39,61217.79,61231.65,65.97321,4039648.5040964996
2021-11-06 06:45:00,61231.64,61249.99,61172.73,61203.22,103.09248,6309591.7337855995
2021-11-06 06:50:00,61203.22,61203.22,61147.12,61189.27,60.42352,3697271.0796304
2021-11-06 06:55:00,61189.28,61250.0,61174.8,61249.99,76.18623,4666405.825637699
2021-11-06 07:00:00,61250.0,61272.3,61189.85,61217.33,68.37904,4185982.2567632003
2021-11-06 07:05:00,61217.34,61250.0,61209.98,61210.98,42.92059,2627211.3760782
2021-11-06 07:10:00,61210.98,61216.14,61000.0,61000.0,94.09729,5739934.69
2021-11-06 07:15:00,61000.0,61079.5,60945.0,60998.62,93.54791,5706293.4138842
2021-11-06 07:20:00,60998.62,61035.58,60754.84,60790.38,302.22396,18372309.3735048
2021-11-06 07:25:00,60790.38,60835.0,60515.0,60602.8,660.30851,40016544.569827996
2021-11-06 07:30:00,60600.0,60769.22,60511.01,60722.01,185.5594,11267539.742394
2021-11-06 07:35:00,60722.02,60786.71,60695.53,60719.93,93.41892,5672390.2830756
2021-11-06 07:40:00,60719.92,60770.87,60681.0,60732.78,84.03083,5103425.9116074
2021-11-06 07:45:00,60734.03,60766.01,60708.0,60709.47,53.87547,3270751.2297009
2021-11-06 07:50:00,60709.48,60825.4,60709.43,60781.8,94.15117,5722677.584706
2021-11-06 07:55:00,60781.8,60819.01,60780.36,60790.88,55.89994,3398206.5445471997
2021-11-06 08:00:00,60790.87,60804.11,60720.0,60763.77,88.02608,5348796.479121599
2021-11-06 08:05:00,60763.78,61165.53,60754.34,61104.87,338.27344,20670154.5756528
2021-11-06 08:10:00,61104.87,61304.47,61027.14,61118.25,203.43675,12433698.1456875
2021-11-06 08:15:00,61118.26,61350.0,61116.1,61249.71,250.78072,15360246.3735912
2021-11-06 08:20:00,61249.7,61346.14,61223.33,61223.33,161.55111,9890696.9193963
2021-11-06 08:25:00,61223.34,61228.66,60913.27,60969.47,164.96756,10057984.7003932
2021-11-06 08:30:00,60969.47,61096.45,60969.46,61069.99,36.97021,2257770.3549979
2021-11-06 08:35:00,61070.0,61100.0,60955.47,61024.18,100.89559,6157070.6453662
2021-11-06 08:40:00,61024.19,61061.84,60952.61,60959.61,39.58606,2413150.7790366
2021-11-06 08:45:00,60959.6,60972.76,60901.32,60972.75,62.36986,3802861.8813150004
2021-11-06 08:50:00,60972.76,61035.03,60971.82,61013.98,47.63933,2906665.1278334004
2021-11-06 08:55:00,61013.98,61035.51,61000.0,61014.07,40.26649,2456822.4395143
2021-11-06 09:00:00,61014.07,61059.59,60846.44,60877.45,69.37075,4223114.3645875
2021-11-06 09:05:00,60877.45,61044.52,60858.88,61013.42,69.74329,4255276.6449518
2021-11-06 09:10:00,61013.43,61085.15,61013.42,61060.67,52.71858,3219031.8162486
2021-11-06 09:15:00,61060.67,61160.05,61055.6,61110.03,63.47501,3878959.7653503
2021-11-06 09:20:00,61110.02,61138.49,61092.41,61109.66,38.8478,2373975.849748
2021-11-06 09:25:00,61109.66,61116.0,61074.82,61094.6,44.1704,2698572.91984
2021-11-06 09:30:00,61094.59,61118.67,61036.17,61038.98,51.48314,3142478.3527972
2021-11-06 09:35:00,61038.97,61140.0,61028.21,61127.11,48.5995,2970746.9824449997
2021-11-06 09:40:00,61127.12,61127.12,61026.69,61057.19,39.47227,2410065.8891213
2021-11-06 09:45:00,61057.19,61065.51,61006.12,61025.23,34.26262,2090884.2659026
2021-11-06 09:50:00,61025.24,61042.45,60939.45,60965.73,72.76476,4436156.7116748
2021-11-06 09:55:00,60965.73,60994.01,60905.34,60922.15,62.76526,3823794.584509
2021-11-06 10:00:00,60922.16,61002.61,60873.89,60975.41,88.32366,5385571.3812006
2021-11-06 10:05:00,60975.41,60992.67,60937.03,60982.36,55.48988,3383903.8385168
2021-11-06 10:10:00,60982.35,61000.0,60953.91,60990.52,52.62204,3209445.5830607996
2021-11-06 10:15:00,60987.11,60996.96,60935.97,60966.4,55.75622,3399256.011008
2021-11-06 10:20:00,60966.39,60990.29,60909.9,60918.15,76.57525,4664822.5657875
2021-11-06 10:25:00,60918.15,61007.99,60762.14,60810.61,200.39317,12186030.9075337
2021-11-06 10:30:00,60814.15,60940.0,60800.0,60834.36,108.49277,6600088.227577199
2021-11-06 10:35:00,60834.37,60845.57,60727.17,60745.82,129.43126,7862408.0223332
2021-11-06 10:40:00,60745.82,60781.0,60609.54,60639.34,209.99638,12734041.8855892
2021-11-06 10:45:00,60639.34,60686.27,60520.0,60592.09,314.57275,19060620.3795475
2021-11-06 10:50:00,60592.09,60594.84,60458.89,60470.58,317.82264,19218919.3779312
2021-11-06 10:55:00,60470.58,60628.85,60445.78,60489.56,300.45464,18174368.9735584
2021-11-06 11:00:00,60489.56,60489.56,60128.9,60200.02,966.6879,58194630.913757995
2021-11-06 11:05:00,60200.02,60356.95,60081.21,60288.28,553.45317,33366739.679847598
2021-11-06 11:10:00,60288.27,60350.0,60153.53,60347.01,162.93207,9832463.257610701
2021-11-06 11:15:00,60347.02,60543.85,60342.56,60518.41,194.92572,11796594.6425052
2021-11-06 11:20:00,60518.41,60590.77,60432.8,60557.35,210.49662,12747117.491157
2021-11-06 11:25:00,60557.35,60595.87,60505.0,60505.04,130.63702,7904198.120580801
2021-11-06 11:30:00,60505.04,60622.14,60460.68,60604.49,82.504,5000112.84296
2021-11-06 11:35:00,60604.5,60609.02,60400.0,60454.59,111.92716,6766510.5676644
2021-11-06 11:40:00,60454.59,60454.59,60300.0,60305.84,158.21636,9541370.4915424
2021-11-06 11:45:00,60305.83,60424.45,60250.0,60371.12,156.67918,9458897.5772816
2021-11-06 11:50:00,60371.11,60371.11,60237.02,60245.89,79.90265,4813806.262608499
2021-11-06 11:55:00,60245.89,60412.14,60244.34,60327.47,125.82275,7590568.1759425
2021-11-06 12:00:00,60327.47,60446.74,60247.08,60277.53,180.77035,10896390.1952355
2021-11-06 12:05:00,60277.53,60361.49,60191.0,60201.0,112.53017,6774428.76417
2021-11-06 12:10:00,60201.01,60281.26,60150.79,60189.99,154.3257,9288862.339743
2021-11-06 12:15:00,60189.98,60208.0,60050.0,60125.3,357.00689,21465146.363317
2021-11-06 12:20:00,60125.29,60495.38,60125.29,60466.55,251.40227,15201427.9290685
2021-11-06 12:25:00,60466.56,60619.75,60355.95,60506.45,250.56157,15160591.107126499
2021-11-06 12:30:00,60506.45,60616.54,60437.65,60465.54,172.53243,10432266.5474622
2021-11-06 12:35:00,60465.55,60494.92,60364.36,60397.48,138.98158,8394137.198418401
2021-11-06 12:40:00,60397.48,60532.0,60370.46,60433.57,70.39383,4254150.4528731
2021-11-06 12:45:00,60431.63,60431.63,60250.0,60250.0,77.0831,4644256.775
2021-11-06 12:50:00,60250.0,60315.11,60200.0,60233.71,128.59132,7745532.2773971995
2021-11-06 12:55:00,60233.01,60318.09,60216.7,60264.34,54.95806,3312011.2135804
2021-11-06 13:00:00,60264.34,60363.81,60241.65,60353.97,124.78364,7531188.0650508
2021-11-06 13:05:00,60353.97,60441.3,60259.22,60319.38,91.66972,5529460.675173599
2021-11-06 13:10:00,60319.38,60522.4,60293.65,60510.02,85.76019,5189350.8121038
2021-11-06 13:15:00,60510.01,60513.57,60389.32,60494.37,65.37869,3955042.6629753006
2021-11-06 13:20:00,60494.36,60680.0,60477.86,60534.13,146.75176,8883490.117568798
2021-11-06 13:25:00,60534.13,60537.03,60476.37,60509.9,49.18155,2975970.6723450003
2021-11-06 13:30:00,60509.89,60509.9,60385.44,60400.01,66.49835,4016501.0049835
2021-11-06 13:35:00,60400.01,60491.3,60372.33,60469.34,61.08685,3693881.5021789996
2021-11-06 13:40:00,60469.34,60546.6,60455.08,60546.6,56.58141,3425811.998706
2021-11-06 13:45:00,60546.6,60576.02,60450.0,60469.14,59.787,3615268.4731799997
2021-11-06 13:50:00,60469.15,60521.0,60445.0,60485.69,44.75054,2706767.2897726
2021-11-06 13:55:00,60485.69,60547.5,60485.69,60547.5,42.714,2586225.915
2021-11-06 14:00:00,60547.49,60547.49,60466.89,60495.35,61.43042,3716254.7585469997
2021-11-06 14:05:00,60495.35,60687.61,60487.55,60540.01,100.82594,6104003.4158594
2021-11-06 14:10:00,60540.02,60557.8,60316.01,60331.82,146.61525,8845564.872255
