candle_begin_time,open,high,low,close,volume,quote_volume
2021-10-08 00:00:00,53785.22,53873.59,53711.57,53814.18,231.7854,12473341.236972
2021-10-08 00:05:00,53814.17,53927.55,53797.95,53856.11,104.8036,5644314.209996
2021-10-08 00:10:00,53856.28,53979.5,53856.27,53959.94,85.3598,4606009.686412001
2021-10-08 00:15:00,53959.93,53979.49,53907.25,53960.0,86.96305,4692526.177999999
2021-10-08 00:20:00,53956.93,54047.88,53946.01,54042.82,93.60429,5058639.7956978
2021-10-08 00:25:00,54042.83,54050.01,54007.73,54050.0,83.14712,4494101.836
2021-10-08 00:30:00,54050.01,54133.02,54050.0,54084.77,83.37897,4509532.4152869
2021-10-08 00:35:00,54084.77,54088.78,54000.01,54009.01,74.95353,4048165.9513053
2021-10-08 00:40:00,54009.01,54235.99,54009.0,54170.3,219.16314,11872133.042742
2021-10-08 00:45:00,54170.29,54196.01,54111.51,54191.45,107.57427,5829605.6739914995
2021-10-08 00:50:00,54191.44,54218.38,54132.09,54139.93,74.57931,4037718.6228483003
2021-10-08 00:55:00,54139.92,54160.0,54090.79,54108.0,74.3981,4025532.3948
2021-10-08 01:00:00,54108.01,54181.53,54108.01,54164.33,66.95896,3626787.2058968004
2021-10-08 01:05:00,54164.33,54223.3,54156.0,54219.56,99.23916,5380703.5899696
2021-10-08 01:10:00,54219.56,54222.24,54131.93,54189.29,81.46199,4414367.4000871
2021-10-08 01:15:00,54189.29,54190.0,54054.04,54066.55,71.80645,3882327.0192475
2021-10-08 01:20:00,54066.55,54155.84,54051.1,54134.48,70.06105,3792718.510004
2021-10-08 01:25:00,54134.48,54309.6,54134.48,54269.99,140.83493,7643110.242750701
2021-10-08 01:30:00,54269.99,54316.07,54194.3,54287.08,122.90407,6672103.080415601
2021-10-08 01:35:00,54287.08,54397.0,54252.0,54381.23,155.78001,8471508.5532123
2021-10-08 01:40:00,54381.24,54381.24,54263.09,54279.79,106.04847,5756288.681421299
2021-10-08 01:45:00,54279.79,54279.79,54174.0,54242.45,76.56762,4153215.299469
2021-10-08 01:50:00,54242.45,54290.73,54205.79,54247.03,65.55529,3556179.7832887
2021-10-08 01:55:00,54247.03,54315.32,54247.03,54297.35,50.3554,2734164.77819
2021-10-08 02:00:00,54297.35,54429.99,54258.85,54371.66,143.42098,7798036.7614268
2021-10-08 02:05:00,54371.65,54374.67,54187.99,54219.42,120.18793,6516519.855600599
2021-10-08 02:10:00,54219.41,54219.42,54119.0,54156.1,135.19244,7321495.299884
2021-10-08 02:15:00,54156.09,54238.01,54105.26,54105.82,88.87144,4808462.1357808
2021-10-08 02:20:00,54105.82,54115.0,54052.05,54076.02,102.35957,5535198.1545114
2021-10-08 02:25:00,54076.03,54150.0,53830.0,53884.86,216.80346,11682424.0896156
2021-10-08 02:30:00,53884.85,53969.0,53792.25,53805.05,194.58903,10469872.4886015
2021-10-08 02:35:00,53805.04,53918.89,53790.0,53856.98,117.438,6324856.017240001
2021-10-08 02:40:00,53856.98,53966.72,53842.08,53942.93,100.06539,5397820.3281927
2021-10-08 02:45:00,53942.94,54045.26,53942.94,54025.78,98.94581,5345624.562981799
2021-10-08 02:50:00,54025.78,54025.79,53863.71,53884.87,105.37694,5678222.712897801
2021-10-08 02:55:00,53884.88,53884.88,53776.5,53842.0,124.0561,6679428.5362
2021-10-08 03:00:00,53842.01,53905.15,53808.3,53864.26,125.69992,6770733.1728592
2021-10-08 03:05:00,53864.26,53896.34,53779.4,53796.32,81.28016,4372573.4970112
